brand,price,season,sex,top_matereal,pad_matereal,sole_matereal,shoe_type,vendor,discount_status,size_34,size_35,size_36,size_37,size_38,size_39,size_40,size_41,size_42,size_43,size_44,size_45,size_46,size_47,size_48
Violet,5,Зима,Мужская обувь,Полимерный материал,Замша,Полимерный материал,Кроссовки,038341751-1,,false,false,false,true,false,true,false,true,false,false,true,false,false,true,true
Khaki,53,Лето,Женская обувь,Кожа,Кожа,Полимерный материал,Тапки,355110522-7,15,true,false,true,true,true,false,true,false,false,false,false,false,false,true,false
Maroon,59,Зима,Мужская обувь,Кожа,Замша,Замша,Босоножки,735145009-9,,false,true,true,false,true,false,true,false,true,false,true,true,false,true,false
Goldenrod,26,Лето,Женская обувь,Замша,Замша,Замша,Мокасины,369881167-7,,false,true,false,false,true,true,true,true,true,false,false,false,false,false,false
Mauv,53,Зима,Мужская обувь,Кожа,Полимерный материал,Кожа,Кроссовки,810796738-0,,true,true,false,false,true,false,true,true,true,true,true,false,false,false,true
Yellow,36,Лето,Мужская обувь,Замша,Кожа,Полимерный материал,Сапоги,228314208-3,,true,true,true,false,false,true,false,true,false,false,true,false,false,false,true
Green,13,Весна/Осень,Мужская обувь,Замша,Замша,Замша,Босоножки,752478438-4,15,false,true,false,true,true,false,false,false,false,false,false,true,false,true,false
Aquamarine,9,Лето,Мужская обувь,Кожа,Кожа,Полимерный материал,Кроссовки,154585296-0,,false,false,true,false,false,true,true,false,true,false,false,true,false,true,false
Aquamarine,18,Лето,Мужская обувь,Кожа,Кожа,Замша,Сапоги,133509728-7,,false,true,true,false,true,false,true,false,false,false,false,true,true,true,true
Mauv,60,Лето,Мужская обувь,Кожа,Замша,Полимерный материал,Кроссовки,777569132-8,,false,true,true,true,false,false,true,true,false,false,false,true,false,true,false
Puce,31,Лето,Мужская обувь,Кожа,Кожа,Замша,Слипоны,923638311-4,,false,false,true,false,false,false,false,false,false,true,true,true,true,false,false
Pink,89,Зима,Женская обувь,Замша,Полимерный материал,Полимерный материал,Сандалии,077697139-5,10,false,false,true,true,true,false,true,true,false,true,false,true,true,true,false
Goldenrod,29,Весна/Осень,Мужская обувь,Кожа,Полимерный материал,Замша,Сабо,565344788-9,,true,false,false,false,true,true,true,false,false,false,true,false,false,true,false
Puce,76,Лето,Женская обувь,Полимерный материал,Замша,Замша,Тапки,810498904-9,15,true,true,true,false,true,true,true,false,true,true,true,false,false,true,false
Indigo,34,Зима,Мужская обувь,Замша,Полимерный материал,Кожа,Босоножки,412079466-0,15,false,true,true,true,false,true,true,false,false,false,false,false,true,false,true
Mauv,22,Зима,Женская обувь,Полимерный материал,Полимерный материал,Замша,Туфли,336951843-0,,true,false,true,false,true,false,false,true,true,false,false,true,false,true,false
Blue,58,Лето,Женская обувь,Кожа,Замша,Кожа,Босоножки,159470702-2,,true,true,true,false,false,true,false,true,false,true,false,true,true,true,true
Fuscia,29,Весна/Осень,Мужская обувь,Замша,Замша,Кожа,Туфли,231490508-3,,false,false,false,true,false,false,true,true,false,true,true,true,true,true,true
Turquoise,5,Лето,Мужская обувь,Полимерный материал,Полимерный материал,Замша,Мокасины,611225275-9,,true,true,true,false,true,false,false,false,true,true,true,false,false,true,true
Mauv,12,Зима,Мужская обувь,Кожа,Замша,Полимерный материал,Сапоги,871883455-8,,true,true,true,true,false,false,true,false,true,false,true,false,false,false,true
Turquoise,76,Зима,Мужская обувь,Замша,Кожа,Замша,Тапки,544410091-6,45,true,false,false,false,false,true,true,false,false,true,false,false,true,false,false
Green,58,Зима,Женская обувь,Полимерный материал,Замша,Кожа,Туфли,037383636-8,30,true,false,true,false,true,false,false,true,false,true,true,false,false,true,false
Fuscia,14,Лето,Женская обувь,Полимерный материал,Полимерный материал,Кожа,Сапоги,735864395-X,,false,false,true,false,true,false,false,true,true,false,false,true,false,true,true
Green,19,Весна/Осень,Мужская обувь,Кожа,Замша,Полимерный материал,Сабо,912909054-7,,false,false,false,false,true,false,true,false,false,false,false,true,false,false,true
Fuscia,36,Весна/Осень,Женская обувь,Замша,Кожа,Замша,Мокасины,711924579-1,,false,false,true,true,false,false,false,true,false,true,true,true,false,false,true
Turquoise,61,Весна/Осень,Мужская обувь,Полимерный материал,Полимерный материал,Кожа,Тапки,294467141-3,,true,false,true,true,true,true,false,true,true,false,false,false,true,true,false
Pink,65,Лето,Женская обувь,Кожа,Кожа,Кожа,Кеды,652713522-X,,false,false,false,true,true,false,false,true,false,false,false,true,false,true,true
Blue,91,Лето,Мужская обувь,Полимерный материал,Замша,Кожа,Сапоги,475844017-4,,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false
Puce,71,Зима,Женская обувь,Кожа,Кожа,Кожа,Угги,883118369-9,,true,false,true,true,false,false,false,false,false,false,false,false,true,false,false
Goldenrod,93,Лето,Мужская обувь,Замша,Кожа,Замша,Кроссовки,860333057-3,,true,false,false,true,false,true,false,false,false,false,false,false,false,true,true
Pink,12,Весна/Осень,Мужская обувь,Полимерный материал,Полимерный материал,Кожа,Тапки,081822134-8,30,true,false,true,true,true,true,false,true,true,true,false,false,true,true,true
Green,15,Весна/Осень,Женская обувь,Замша,Замша,Кожа,Угги,697873221-4,,true,true,false,false,true,true,false,true,false,false,false,false,true,false,false
Teal,29,Весна/Осень,Женская обувь,Кожа,Замша,Кожа,Кроссовки,312148365-X,,true,true,false,false,false,false,false,true,true,true,true,true,true,false,false
Pink,30,Весна/Осень,Мужская обувь,Полимерный материал,Замша,Замша,Сапоги,963480677-5,30,true,true,true,true,true,false,true,false,false,true,true,false,false,true,true
Goldenrod,78,Лето,Мужская обувь,Замша,Замша,Полимерный материал,Мокасины,145851972-4,30,false,true,false,false,false,false,true,true,true,false,false,false,true,false,false
Khaki,9,Весна/Осень,Женская обувь,Полимерный материал,Полимерный материал,Полимерный материал,Сандалии,907913538-0,,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false
Green,4,Зима,Женская обувь,Полимерный материал,Кожа,Замша,Туфли,835545557-6,,true,false,true,true,false,true,true,false,false,false,false,true,true,true,true
Maroon,66,Весна/Осень,Мужская обувь,Замша,Полимерный материал,Замша,Туфли,034560609-4,,true,false,true,false,true,false,true,false,true,true,false,true,true,true,true
Pink,34,Весна/Осень,Мужская обувь,Замша,Кожа,Замша,Мокасины,136035276-7,,true,false,false,true,false,true,true,true,true,true,false,true,false,true,true
Aquamarine,79,Лето,Женская обувь,Полимерный материал,Кожа,Кожа,Угги,197955128-6,,false,true,true,false,true,true,false,false,false,false,false,false,true,true,true
Puce,91,Лето,Женская обувь,Полимерный материал,Замша,Кожа,Сандалии,326567033-3,10,false,true,true,false,true,true,true,false,true,false,true,false,false,true,true
Red,96,Зима,Женская обувь,Полимерный материал,Замша,Полимерный материал,Слипоны,925275313-3,10,true,false,true,true,false,false,true,true,false,false,true,false,false,false,false
Turquoise,71,Зима,Мужская обувь,Кожа,Кожа,Замша,Угги,964605449-8,15,true,true,true,true,false,false,true,false,true,false,false,true,true,true,true
Mauv,53,Зима,Мужская обувь,Полимерный материал,Кожа,Замша,Туфли,607670799-2,,false,false,false,true,true,true,true,false,true,true,false,false,false,true,false
Fuscia,7,Весна/Осень,Мужская обувь,Полимерный материал,Кожа,Кожа,Туфли,224410727-2,10,false,false,true,true,true,true,true,false,true,true,true,true,false,true,true
Turquoise,56,Лето,Мужская обувь,Замша,Замша,Замша,Ботинки,194784137-8,,true,false,true,false,true,true,true,true,false,false,true,false,true,false,true
Puce,69,Лето,Мужская обувь,Полимерный материал,Кожа,Замша,Туфли,793343811-3,,true,false,true,false,true,false,false,false,false,false,false,true,true,true,false
Fuscia,88,Весна/Осень,Мужская обувь,Кожа,Кожа,Кожа,Туфли,620496475-5,45,false,false,false,true,false,true,true,true,true,false,true,true,true,true,false
